id,structure,informativity,on-topic,correctness
802,0,4,4,4
3460,0,2,4,4
3488,0,3,4,4
177,1,4,4,0
144,0,4,4,4
4537,4,4,4,4
4432,0,2,4,2
4154,0,3,4,4
1550,4,4,4,0
2580,0,4,4,4
3380,0,4,4,4
3846,0,4,4,4
4116,0,4,4,4
43,0,4,4,4
2478,0,4,4,4
4131,0,4,4,4
4133,4,3,4,4
93,1,4,4,0
3408,0,2,4,3
4696,0,3,4,3
1224,0,3,4,4
2748,0,2,2,2
3012,0,4,4,4
3118,0,3,4,4
3481,0,1,3,2
452,0,4,4,4
2739,0,4,4,4
1659,0,4,4,4
2401,3,2,4,3
1028,4,4,4,0
2822,4,4,4,4
1601,4,4,4,4
1379,3,2,4,4
363,0,4,4,4
1454,0,0,0,0
3035,3,2,4,4
1732,0,4,4,4
4692,0,4,4,0
298,0,4,4,4
829,0,2,4,2
3969,3,3,4,4
1767,0,4,4,4
31,0,0,0,0
4206,0,4,4,4
2805,0,4,4,4
690,0,3,4,4
2308,0,4,4,4
4670,0,4,4,4
2052,0,2,4,2
2457,0,4,4,4
1216,0,4,4,4
1698,0,2,4,2
1350,0,4,4,4
3108,0,4,4,4
4727,0,3,4,4
900,0,4,4,4
1032,0,3,4,4
1012,0,4,4,4
3784,0,4,4,4
2189,0,1,4,4
3240,0,4,4,4
439,0,4,4,4
1847,0,4,4,4
2252,0,4,4,4
2672,0,4,4,4
603,0,4,4,0
1250,0,0,0,0
1278,0,0,0,0
2511,0,4,4,4
3794,4,4,4,4
4150,4,4,4,4
2577,0,4,4,4
1060,0,4,4,4
1869,0,4,4,0
2299,0,4,4,3
2373,1,4,4,4
791,0,4,4,4
1503,0,4,4,4
2803,0,4,4,4
4317,0,2,4,4
1129,0,4,4,0
2360,0,1,1,1
4476,0,4,4,4
3616,3,4,4,4
312,0,4,4,4
1894,0,4,4,4
4636,0,0,0,0
251,0,4,4,4
3726,0,2,4,2
1372,2,4,4,0
4135,0,4,4,4
112,0,4,4,2
2855,0,2,4,4
1658,0,4,4,4
2859,0,4,4,4
4042,1,4,4,4
3800,0,4,4,3
2767,0,4,4,0
1620,0,4,4,0
3398,0,3,4,2
2491,0,3,4,3
4027,0,4,4,4
3842,0,4,4,4
3611,0,3,4,0
2409,0,4,4,4
4087,0,4,4,4
4193,3,4,4,0
4246,0,4,4,4
1580,0,3,4,2
3066,0,3,4,4
4292,0,4,4,4
1496,0,4,4,0
2528,0,0,0,0
662,0,4,4,4
3572,4,3,4,4
123,0,4,4,4
4455,0,0,0,0
4675,4,4,4,4
3087,0,4,4,4
3071,0,4,4,4
1538,0,4,4,0
3775,4,4,4,4
4459,0,4,4,4
1958,0,4,4,4
3343,0,4,4,4
171,0,2,4,2
2696,0,3,4,4
1727,0,4,4,4
20,0,4,4,4
2614,0,3,4,4
1492,1,4,4,0
168,0,4,4,4
2297,0,4,4,4
3647,0,4,4,4
1162,0,4,4,4
4572,0,4,4,4
1905,0,2,4,3
3802,4,4,4,4
3971,0,4,4,4
4630,0,4,4,4
3403,0,2,4,2
229,0,4,4,4
2118,0,4,4,4
395,0,4,4,4
2664,0,3,4,4
365,0,4,4,4
10,0,3,4,4
3332,0,2,4,3
1588,0,4,3,2
3301,0,4,4,0
2463,0,3,4,3
3453,0,4,4,4
2358,0,4,4,4
2942,0,3,4,3
1284,0,3,4,2
4571,4,4,4,0
185,3,4,4,4
1494,0,4,4,0
4031,0,3,4,2
4657,0,4,4,4
733,0,4,4,0
3952,0,4,4,0
4622,0,0,0,0

