id,structure,informativity,on-topic,correctness
1854,4,3,4,4
4232,4,3,3,4
2537,3,2,3,4
3928,4,4,4,0
3334,4,3,4,4
637,4,4,4,4
2769,4,4,4,4
3128,2,2,3,4
677,4,3,4,0
1382,4,4,4,4
2303,4,3,4,4
825,4,4,4,4
2362,4,4,4,4
1879,4,3,3,4
2753,4,3,3,4
1040,4,4,4,4
3643,4,3,4,0
3844,4,4,4,4
3088,4,4,4,4
2348,4,3,4,4
2518,4,4,4,4
2557,4,3,3,0
3734,4,4,4,4
941,3,4,4,4
3233,4,3,4,4
743,4,4,4,4
2868,4,4,4,4
2220,0,3,4,4
237,4,3,4,4
2135,0,4,4,4
4044,4,4,4,4
368,0,4,4,4
1,4,3,3,4
3097,4,3,4,4
1169,3,3,4,0
3422,0,3,4,3
2022,4,3,4,0
1019,2,2,3,4
2508,1,1,1,1
2976,4,3,4,4
4711,3,2,3,4
1613,4,4,4,4
1024,3,3,3,0
4172,4,3,4,4
145,4,4,3,0
2483,4,3,4,4
3076,4,3,4,4
4032,4,4,4,4
1684,2,1,2,2
3861,4,4,4,4
1663,3,3,4,4
4038,4,3,3,4
2474,4,3,4,0
1777,4,4,4,4
515,4,4,4,4
2034,3,3,3,4
342,4,2,4,4
2288,2,3,3,4
1975,0,3,4,0
2187,4,4,4,4
4626,3,3,4,0
207,3,3,3,4
2895,0,3,4,3
2055,4,3,4,4
1417,4,3,4,4
1020,3,3,2,4
1816,0,3,3,0
3349,4,4,4,4
4166,4,3,4,0
4358,3,4,4,4
1457,4,4,4,4
892,3,4,4,4
446,4,3,4,4
3985,4,3,4,4
1899,1,1,1,1
2775,4,4,4,4
2626,0,4,4,0
2486,4,4,4,4
717,3,3,4,4
1233,4,2,4,4
1022,4,4,4,4
2177,0,4,4,0
4041,3,2,3,3
3940,4,4,4,4
3047,3,2,4,2
3003,3,3,4,0
2598,4,4,4,4
901,4,3,4,4
1005,4,3,4,4
3698,4,4,4,4
1453,0,3,4,0
366,4,4,4,0
4558,3,4,4,4
4318,4,3,4,3
4186,4,4,4,4
1840,3,3,3,4
4690,0,3,4,4
3218,3,3,4,4
3621,0,3,4,4
1450,0,3,4,4
109,0,3,4,4
1364,3,4,4,4
602,0,4,4,4
926,3,2,2,4
4379,0,4,4,0
420,4,4,4,0
2564,4,4,4,4
742,4,4,4,4
1549,3,3,4,4
3173,4,4,4,4
2076,4,4,4,3
2871,4,4,4,4
2826,4,4,4,4
4615,4,4,4,0
775,4,3,4,0
2914,4,4,4,3
4215,4,3,4,4
2566,3,4,4,4
2870,0,4,4,0
535,4,4,4,3
2850,0,2,4,3
935,4,4,4,4
2830,4,4,4,4
2983,4,3,4,4
2444,0,4,4,4
3511,4,3,3,4
3854,0,4,4,0
1772,0,3,4,4
4408,4,3,4,4
3383,4,4,4,4
3712,4,4,4,4
3216,3,3,4,4
696,4,4,4,4
4204,2,2,3,3
3989,4,4,2,0
4619,4,4,4,4
102,4,3,4,0
