id,structure,informativity,on-topic,correctness,category
1620,0,4,4,0,brainstorming
1621,0,4,4,4,closed_qa
1626,0,4,4,4,summarization
1636,0,2,2,2,closed_qa
1637,0,2,2,2,summarization
1640,0,1,4,2,closed_qa
1658,0,4,4,4,closed_qa
1659,0,4,4,4,closed_qa
1669,0,4,4,4,closed_qa
1671,3,4,4,4,brainstorming
1691,4,4,4,4,brainstorming
1698,0,2,4,2,summarization
1709,0,3,4,3,closed_qa
1714,0,4,4,4,summarization
1719,0,1,1,1,summarization
1723,0,4,4,1,closed_qa
1727,0,4,4,4,closed_qa
1732,0,4,4,4,summarization
1744,0,4,4,4,brainstorming
1748,4,4,4,4,summarization
1760,0,4,4,4,closed_qa
1767,0,4,4,4,closed_qa
1775,0,4,4,4,closed_qa
1776,0,4,4,4,closed_qa
1779,4,4,4,4,brainstorming
1780,0,4,4,4,closed_qa
1833,4,3,4,4,summarization
1847,0,4,4,4,summarization
1849,0,4,4,4,closed_qa
1851,0,4,4,4,brainstorming
1853,0,4,4,4,brainstorming
1855,0,4,4,4,brainstorming
1869,0,4,4,0,brainstorming
1878,0,4,4,4,closed_qa
1881,0,4,4,0,brainstorming
1882,0,1,1,1,summarization
1894,0,4,4,4,summarization
1905,0,2,4,3,summarization
1912,0,4,4,4,closed_qa
1916,0,4,4,4,summarization
1917,0,4,4,0,brainstorming
1933,0,4,4,3,closed_qa
1942,0,4,4,4,closed_qa
1945,0,4,4,4,summarization
1954,0,4,4,4,summarization
1958,0,4,4,4,closed_qa
1959,0,4,4,4,summarization
1965,0,4,4,4,closed_qa
1970,0,3,4,4,summarization
1972,0,4,4,4,closed_qa
1973,0,4,4,4,summarization
1996,2,3,2,2,brainstorming
2000,0,4,4,0,brainstorming
2010,4,3,4,4,brainstorming
2016,0,4,4,4,summarization
2025,4,4,4,4,summarization
2036,0,4,4,4,closed_qa
2052,0,2,4,2,summarization
2068,0,4,4,4,summarization
2093,4,4,4,4,brainstorming
2105,0,4,4,4,brainstorming
2107,0,4,4,4,closed_qa
2118,0,4,4,4,closed_qa
2119,0,1,1,1,closed_qa
2134,0,4,4,4,closed_qa
2139,0,4,4,0,brainstorming
2144,0,3,3,2,closed_qa
2152,0,4,4,4,closed_qa
2160,4,4,4,4,brainstorming
2165,0,3,4,3,summarization
2168,0,4,4,4,closed_qa
2178,0,3,4,3,summarization
2179,0,4,4,4,brainstorming
2183,0,2,4,0,brainstorming
2185,0,4,4,4,summarization
2189,0,1,4,4,closed_qa
2191,0,4,4,4,summarization
2206,1,2,4,1,brainstorming
2208,0,3,4,2,brainstorming
2214,0,3,3,3,closed_qa
2218,4,4,4,4,summarization
2222,0,4,4,0,summarization
2228,0,4,4,4,summarization
2230,0,4,4,4,closed_qa
2242,0,2,2,2,summarization
2244,0,4,4,4,closed_qa
2251,0,2,2,4,closed_qa
2252,0,4,4,4,summarization
2256,0,4,4,4,closed_qa
2273,0,4,4,4,summarization
2274,0,4,4,4,summarization
2276,0,4,4,4,closed_qa
2284,0,4,4,4,closed_qa
2297,0,4,4,4,closed_qa
2299,0,4,4,3,brainstorming
2304,0,4,4,0,brainstorming
2308,0,4,4,4,summarization
2312,0,3,4,0,brainstorming
2321,4,4,4,2,brainstorming
2322,4,4,4,0,brainstorming
2323,0,3,4,4,closed_qa
2326,4,4,4,0,brainstorming
2328,0,4,4,4,summarization
2333,0,2,4,0,brainstorming
2334,4,4,4,4,summarization
2339,0,4,4,4,summarization
2346,0,3,4,0,brainstorming
2350,0,4,4,0,brainstorming
2353,0,4,4,4,closed_qa
2358,0,4,4,4,brainstorming
2360,0,1,1,1,closed_qa
2365,0,4,4,4,summarization
2369,0,4,4,4,closed_qa
2373,1,4,4,4,brainstorming
2375,0,4,4,4,summarization
2381,0,4,4,0,brainstorming
2386,0,4,4,4,brainstorming
2391,0,4,4,4,summarization
2400,0,3,4,4,closed_qa
2401,3,2,4,3,summarization
2409,0,4,4,4,summarization
2422,1,4,4,3,brainstorming
2424,0,4,4,4,closed_qa
2426,0,4,4,4,brainstorming
2448,0,2,4,4,summarization
2457,0,4,4,4,closed_qa
2463,0,3,4,3,closed_qa
2464,0,4,4,0,brainstorming
2478,0,4,4,4,summarization
2485,4,4,4,4,brainstorming
2488,0,4,4,4,closed_qa
2491,0,3,4,3,summarization
2503,0,4,4,4,closed_qa
2504,0,4,4,4,summarization
2505,0,4,4,4,summarization
2511,0,4,4,4,brainstorming
2512,0,4,4,4,closed_qa
2515,0,4,4,3,summarization
2523,0,4,4,4,brainstorming
2528,0,0,0,0,closed_qa
2529,0,2,4,4,closed_qa
2535,4,4,4,4,brainstorming
2550,4,2,4,4,summarization
2555,0,4,4,4,closed_qa
2560,4,4,4,4,brainstorming
2576,0,3,4,4,closed_qa
2577,0,4,4,4,brainstorming
2580,0,4,4,4,closed_qa
2593,0,4,3,4,summarization
2609,4,4,4,4,summarization
2614,0,3,4,4,closed_qa
2617,0,4,4,3,closed_qa
2632,0,4,4,0,brainstorming
2639,0,2,4,2,summarization
2645,0,4,4,4,brainstorming
2651,0,3,4,4,summarization
2658,0,4,4,4,summarization
2659,4,4,4,4,brainstorming
2664,0,3,4,4,summarization
2668,0,4,4,4,closed_qa
2672,0,4,4,4,closed_qa
2679,0,4,4,4,summarization
2681,0,4,4,0,brainstorming
2686,0,4,4,3,summarization
2687,4,4,4,4,brainstorming
2696,0,3,4,4,summarization
2698,0,3,3,3,summarization
2718,0,1,1,1,closed_qa
2724,0,4,4,4,summarization
2734,0,4,4,4,closed_qa
2739,0,4,4,4,summarization
2741,3,4,4,0,brainstorming
2748,0,2,2,2,closed_qa
2750,0,1,1,1,summarization
2757,0,4,4,4,closed_qa
2767,0,4,4,0,brainstorming
2786,0,4,4,4,closed_qa
2794,0,3,4,3,summarization
2803,0,4,4,4,closed_qa
2805,0,4,4,4,summarization
2807,4,4,4,0,brainstorming
2813,4,4,4,4,summarization
2817,0,3,4,3,closed_qa
2822,4,4,4,4,closed_qa
2823,0,2,2,2,brainstorming
2846,0,4,4,4,summarization
2855,0,2,4,4,summarization
2859,0,4,4,4,brainstorming
2862,0,4,4,4,closed_qa
2876,0,4,4,4,summarization
2885,0,2,4,2,summarization
2888,0,3,4,4,summarization
2894,0,3,4,4,closed_qa
2900,0,3,4,4,closed_qa
2905,0,4,4,4,closed_qa
2915,0,4,4,4,brainstorming
2925,0,4,4,4,summarization
2927,4,4,4,0,brainstorming
2938,0,4,4,3,brainstorming
2942,0,3,4,3,summarization
2949,0,3,4,4,brainstorming
2951,4,4,4,0,brainstorming
2957,4,4,4,4,summarization
2981,0,3,3,3,summarization
2985,0,4,4,4,summarization
2986,0,4,4,0,brainstorming
2993,4,4,4,3,summarization
2994,0,3,3,4,summarization
2997,0,4,4,4,summarization
3004,0,4,4,4,summarization
3012,0,4,4,4,closed_qa
3015,2,3,4,4,summarization
3021,0,3,4,4,closed_qa
3031,4,4,4,3,summarization
3035,3,2,4,4,summarization
3038,0,4,4,4,closed_qa
3046,0,2,2,2,closed_qa
3049,0,4,4,4,closed_qa
3054,0,1,4,1,closed_qa
3065,0,4,4,4,closed_qa
3066,0,3,4,4,closed_qa
3067,0,4,4,4,brainstorming
3071,0,4,4,4,closed_qa
3081,4,3,4,4,summarization
3087,0,4,4,4,summarization
3092,4,4,4,0,summarization
3096,0,4,4,4,closed_qa
3108,0,4,4,4,summarization
3112,0,1,1,1,summarization
3118,0,3,4,4,closed_qa
3131,0,4,4,0,brainstorming
3136,0,2,4,3,closed_qa
3141,0,2,2,3,summarization
3147,0,1,1,1,closed_qa
3152,4,4,4,4,brainstorming
3159,0,4,4,4,closed_qa
3164,1,4,4,0,brainstorming
3167,0,4,4,4,summarization
3171,4,4,4,0,brainstorming
3174,4,4,4,4,summarization
3180,0,1,1,1,closed_qa
3182,0,2,4,4,closed_qa
3183,0,2,4,4,closed_qa
3185,0,4,4,4,closed_qa
3193,0,4,4,4,closed_qa
3208,0,4,4,4,summarization
3213,0,4,4,4,closed_qa
3220,0,4,4,4,closed_qa
3221,0,4,4,0,brainstorming
3226,0,4,4,4,brainstorming
3234,0,2,4,2,summarization
3240,0,4,4,4,brainstorming
3261,4,3,4,4,summarization
3270,3,4,4,4,summarization
3279,4,4,4,4,summarization
3288,3,2,4,0,brainstorming
3301,0,4,4,0,brainstorming
3303,0,4,4,0,brainstorming
3306,0,2,4,4,closed_qa
3307,0,3,4,4,closed_qa
3311,4,4,4,0,brainstorming
3317,0,4,4,4,closed_qa
3325,0,4,4,4,summarization
3326,4,3,4,0,brainstorming
3332,0,2,4,3,summarization
3338,0,4,4,4,closed_qa
3343,0,4,4,4,brainstorming
3351,0,3,4,4,closed_qa
3353,0,2,4,0,brainstorming
3358,1,3,3,3,brainstorming
3359,4,4,4,4,brainstorming
3376,0,4,4,4,summarization
3380,0,4,4,4,closed_qa
3384,0,4,4,4,brainstorming
3391,0,4,4,4,closed_qa
3395,0,4,4,4,closed_qa
3398,0,3,4,2,closed_qa
3403,0,2,4,2,brainstorming
3408,0,2,4,3,summarization
3413,4,4,4,4,brainstorming
3415,0,4,4,4,closed_qa
3419,0,4,4,4,brainstorming
3430,0,4,4,4,brainstorming
3441,0,1,1,1,summarization
3444,0,3,4,4,closed_qa
3453,0,4,4,4,brainstorming
3460,0,2,4,4,summarization
3465,0,4,4,0,brainstorming
3469,4,4,4,4,brainstorming
3481,0,1,3,2,summarization
3485,0,2,3,3,summarization
3488,0,3,4,4,summarization
3490,0,4,4,2,brainstorming
3491,4,3,4,2,brainstorming
3499,0,4,4,4,closed_qa
3516,4,4,4,3,brainstorming
3518,0,4,4,4,closed_qa
3529,0,4,4,4,closed_qa
3531,0,4,4,0,brainstorming
3533,0,4,4,4,closed_qa
3535,0,2,4,4,summarization
3539,0,3,3,3,brainstorming
3547,0,4,4,4,closed_qa
3554,4,4,4,0,brainstorming
3556,0,4,4,0,brainstorming
3557,2,2,4,3,summarization
3565,0,4,4,4,brainstorming
3566,0,4,4,4,summarization
3572,4,3,4,4,summarization
3584,0,4,4,4,closed_qa
3586,0,4,4,4,closed_qa
3588,4,4,4,4,brainstorming
3591,0,4,4,4,closed_qa
3593,1,1,2,1,brainstorming
3595,4,4,4,4,summarization
3596,0,4,4,4,brainstorming
3600,0,3,4,4,closed_qa
3603,0,4,4,0,brainstorming
3607,0,4,4,4,summarization
3611,0,3,4,0,brainstorming
3613,4,4,4,3,brainstorming
3616,3,4,4,4,brainstorming
3618,0,4,4,4,summarization
3619,4,4,4,4,brainstorming
3629,0,1,1,1,summarization
3630,0,2,4,4,summarization
3634,0,4,4,4,summarization
3640,4,4,4,0,brainstorming
3641,0,4,4,4,closed_qa
3647,0,4,4,4,brainstorming
3649,0,1,4,1,closed_qa
3654,0,4,4,0,brainstorming
3670,0,4,4,4,summarization
3678,2,3,4,4,summarization
3685,0,1,4,1,summarization
3696,0,3,3,3,brainstorming
3697,4,4,4,4,summarization
3701,0,4,4,4,closed_qa
3724,0,3,4,4,closed_qa
3726,0,2,4,2,summarization
3741,0,4,4,0,brainstorming
3760,0,4,4,4,brainstorming
3762,0,4,4,4,closed_qa
3766,0,4,4,4,closed_qa
3775,4,4,4,4,brainstorming
3779,0,1,1,1,summarization
3784,0,4,4,4,brainstorming
3793,0,4,4,4,closed_qa
3794,4,4,4,4,brainstorming
3798,0,3,4,3,summarization
3799,0,3,4,3,summarization
3800,0,4,4,3,closed_qa
3802,4,4,4,4,summarization
3815,0,4,4,4,brainstorming
3818,0,3,4,4,brainstorming
3821,0,4,4,4,closed_qa
3824,0,4,4,4,summarization
3827,4,4,4,4,summarization
3832,0,4,4,0,brainstorming
3834,0,1,1,1,summarization
3842,0,4,4,4,closed_qa
3846,0,4,4,4,summarization
3849,0,4,4,4,summarization
3864,0,4,4,4,closed_qa
3872,0,3,4,3,summarization
3879,0,4,4,4,closed_qa
3881,0,4,4,0,brainstorming
3883,4,4,4,0,brainstorming
3891,0,4,4,4,summarization
3897,0,4,4,4,closed_qa
3913,0,3,4,4,summarization
3922,0,1,3,3,summarization
3923,0,4,4,4,summarization
3929,0,1,4,4,summarization
3937,0,1,1,1,summarization
3941,0,4,4,4,summarization
3942,0,4,1,4,summarization
3948,0,4,4,4,summarization
3952,0,4,4,0,brainstorming
3966,0,4,4,4,closed_qa
3969,3,3,4,4,summarization
3971,0,4,4,4,closed_qa
3980,0,4,4,4,closed_qa
3981,0,4,4,4,closed_qa
3984,0,4,4,4,closed_qa
3988,0,4,4,4,closed_qa
3996,0,4,4,4,summarization
4006,0,2,4,4,summarization
4007,4,4,4,4,brainstorming
4027,0,4,4,4,summarization
4030,4,4,4,0,brainstorming
4031,0,3,4,2,summarization
4037,0,3,4,3,summarization
4042,1,4,4,4,brainstorming
4052,0,4,4,4,closed_qa
4068,1,2,4,1,closed_qa
4069,0,4,4,4,closed_qa
4070,0,4,4,4,brainstorming
4075,0,4,4,4,closed_qa
4087,0,4,4,4,closed_qa
4091,0,3,3,3,closed_qa
4108,0,4,4,4,closed_qa
4116,0,4,4,4,closed_qa
4126,4,4,4,4,brainstorming
4129,0,4,4,4,brainstorming
4131,0,4,4,4,closed_qa
4132,0,4,4,4,brainstorming
4133,4,3,4,4,summarization
4135,0,4,4,4,summarization
4150,4,4,4,4,summarization
4151,0,4,4,0,brainstorming
4154,0,3,4,4,closed_qa
4168,0,2,4,4,closed_qa
4169,0,4,4,4,closed_qa
4176,4,4,4,2,brainstorming
4184,4,4,3,0,brainstorming
4193,3,4,4,0,brainstorming
4197,4,4,4,0,brainstorming
4203,4,4,4,1,summarization
4206,0,4,4,4,summarization
4207,4,4,4,0,brainstorming
4217,0,4,4,4,closed_qa
4234,4,4,4,4,brainstorming
4237,0,4,4,0,brainstorming
4246,0,4,4,4,closed_qa
4252,0,3,4,4,summarization
4261,0,3,4,4,summarization
4267,0,3,4,0,brainstorming
4271,0,4,4,4,brainstorming
4282,0,4,4,4,closed_qa
4284,0,4,4,4,summarization
4288,0,3,4,3,closed_qa
4292,0,4,4,4,closed_qa
4306,0,2,2,0,brainstorming
4311,0,3,4,4,closed_qa
4313,0,4,4,4,closed_qa
4317,0,2,4,4,closed_qa
4325,0,1,1,1,summarization
4330,0,4,4,4,closed_qa
4331,0,4,4,4,closed_qa
4333,0,4,4,4,closed_qa
4336,4,4,4,4,brainstorming
4373,4,4,4,4,summarization
4380,0,1,1,1,closed_qa
4388,0,4,3,4,brainstorming
4390,0,4,4,4,closed_qa
4391,0,3,3,2,summarization
4398,4,4,4,0,brainstorming
4410,0,1,2,4,summarization
4425,0,4,4,4,summarization
4432,0,2,4,2,summarization
4435,0,4,4,4,closed_qa
4439,0,4,4,0,brainstorming
4450,0,1,1,1,summarization
4455,0,0,0,0,summarization
4458,0,3,3,4,brainstorming
4459,0,4,4,4,closed_qa
4461,0,4,4,0,summarization
4467,4,4,4,0,brainstorming
4476,0,4,4,4,brainstorming
4482,0,4,4,4,brainstorming
4485,0,1,4,2,summarization
4489,4,4,4,4,brainstorming
4494,4,4,4,4,brainstorming
4496,0,3,4,4,summarization
4498,1,4,4,0,brainstorming
4512,4,4,4,4,brainstorming
4513,0,4,4,4,brainstorming
4518,0,4,4,4,brainstorming
4527,0,1,1,1,summarization
4534,0,4,4,3,summarization
4537,4,4,4,4,brainstorming
4543,0,4,4,4,brainstorming
4554,0,4,4,4,summarization
4565,3,4,3,4,summarization
4570,0,4,4,4,summarization
4571,4,4,4,0,brainstorming
4572,0,4,4,4,closed_qa
4600,0,2,4,2,summarization
4603,0,4,4,4,closed_qa
4606,0,4,4,0,brainstorming
4616,0,4,4,4,closed_qa
4620,0,4,4,4,closed_qa
4622,1,4,4,4,brainstorming
4625,0,4,4,2,closed_qa
4630,0,4,4,4,closed_qa
4635,0,4,4,4,closed_qa
4636,0,4,4,4,brainstorming
4641,0,4,4,0,brainstorming
4644,0,4,4,0,brainstorming
4649,4,3,4,3,summarization
4657,0,4,4,4,closed_qa
4670,0,4,4,4,closed_qa
4673,0,4,4,4,brainstorming
4675,4,4,4,4,brainstorming
4678,0,3,4,4,summarization
4684,0,1,2,1,closed_qa
4692,0,4,4,0,brainstorming
4696,0,3,4,3,closed_qa
4700,0,4,4,4,closed_qa
4710,0,4,4,0,brainstorming
4719,0,4,4,4,summarization
4720,4,2,2,4,brainstorming
4726,0,4,4,0,brainstorming
4727,0,3,4,4,summarization
